Nr Knura;Rasa;Liczba kojarzeń;Numer chlewni;Numer kolejnej oceny;Aktualna liczba potom.;Aktualna liczba kojarzeń;Aktualny Blup ZWH;Max liczba potom.;Liczba kojarzeń dla max liczby potom.;ZWH dla max liczby potom.;Liczba potom. dla max ZWH;Liczba kojarzeń dla max ZWH;Max ZWH
24319009721;10;44;26552;35;67;12;9.2606;78;13;9.4385;12;3;9.8618
I1206/19;10;22;6501;112;11;2;9.6633;19;7;9.4768;2;2;10.8202
08097007319;10;24;22063;104;24;3;9.7796;61;7;9.8558;33;5;9.9512
24319040019;10;55;26034;98;31;7;8.1842;45;9;10.2748;30;8;10.3166
02473004021;10;11;22063;41;33;5;10.4128;41;4;10.4136;19;3;10.6154
06478141020;10;22;2510;17;61;17;10.5696;61;17;10.5864;53;15;10.5918
I8451166621;10;41;6501;44;24;11;11.0467;29;9;10.8853;18;8;11.0855
06224085820;20;58;2442;60;76;13;8.645;106;15;8.6902;61;15;10.7976
26614005317;20;2;8144;5;11;2;8.8674;11;2;8.9226;11;2;8.9226
22679049120;20;22;8026;58;9;3;10.37;71;8;8.992;48;7;10.5238
12615031321;20;13;12742;13;12;3;9.3568;12;3;9.3568;12;3;9.3568
26086097418;20;20;24199;41;6;2;9.7044;11;3;9.3668;2;1;9.99
26086002720;20;73;26086;99;13;4;9.6421;31;10;9.413;11;5;11.1548
20244080820;20;72;6070;63;5;1;8.8777;9;3;9.5044;3;2;11.092
20244097819;20;21;20244;105;9;2;10.9472;21;7;9.5176;10;2;11.2846
12615037521;20;18;28389;4;1;1;9.3318;1;1;9.5642;1;1;9.5642
26086101319;20;24;26082;53;15;2;10.1681;37;7;9.622;9;1;10.4226
26614065120;20;28;24041;39;22;6;9.4413;25;7;9.6608;17;4;9.876
26614024520;20;15;26093;58;5;1;10.2526;29;8;9.662;5;1;10.2794
16022040717;20;45;16022;144;5;1;9.7294;26;5;9.6644;7;1;10.1174
06011068821;20;24;20243;10;2;2;9.878;2;2;9.878;2;2;9.878
20244077620;20;1;26093;17;3;1;9.8944;3;1;9.9108;3;1;9.9108
20244069020;20;5;26600;26;6;4;9.618;14;4;9.9132;8;3;10.1064
08024007221;20;39;26086;38;47;14;10.0996;54;16;9.9408;13;4;11.316
20244096119;20;9;20244;61;10;2;10.204;16;5;9.9816;5;1;10.3378
22679024520;20;68;6031;71;77;19;10.0005;79;19;9.9868;77;19;10.0085
26614065020;20;18;98618;32;25;9;9.569;46;16;9.9888;24;8;9.996
24321034919;20;60;26269;103;20;4;10.0175;51;9;10.0331;32;7;10.0502
08024025719;20;94;8296;99;14;4;10.1937;19;4;10.0536;11;3;10.2443
06031086320;20;43;8296;39;8;2;10.2731;22;6;10.1407;8;2;10.2964
26086056320;20;23;24199;68;11;3;9.7344;14;4;10.1836;4;1;10.5194
26086089621;20;11;26082;14;14;2;10.2318;14;2;10.2368;14;2;10.2368
20244057421;20;9;20244;23;34;8;10.257;34;8;10.2584;34;8;10.2584
20244112619;20;15;26624;24;13;3;10.3304;13;3;10.346;13;3;10.346
06031072118;20;124;8296;148;13;5;9.9029;38;12;10.3544;30;10;10.4892
06069097120;20;37;6069;56;53;14;10.4235;71;17;10.3883;1;1;10.58
06011064519;20;126;20243;115;5;3;10.3501;88;30;10.4358;84;33;10.8298
I1142/19;20;62;6224;123;37;13;10.5391;58;16;10.4564;4;3;10.7376
24321033620;20;15;26082;44;31;4;10.4672;31;4;10.4792;31;4;10.4792
20244088620;20;76;98618;40;71;26;10.7914;112;32;10.5084;93;32;10.8818
20244060920;20;18;20244;64;32;5;10.5073;32;5;10.512;15;2;11.2038
12707017921;20;16;12707;38;13;4;10.4799;19;6;10.5722;5;1;11.3962
06069075119;20;131;6075;115;8;4;9.9127;105;37;10.6138;4;2;11.173
20257018321;20;10;20257;18;9;3;10.6112;9;3;10.6376;9;3;10.6376
20244045121;20;3;26600;5;5;1;10.652;5;1;10.656;5;1;10.656
20244030420;20;15;20244;72;11;2;10.4824;26;4;10.6776;12;2;11.0792
26086038120;20;35;24041;64;36;11;9.447;49;13;10.7398;49;13;10.7398
I4199853/21;20;63;6224;51;40;16;10.7618;40;16;10.7618;36;16;10.7908
10194012021;20;13;24199;11;17;5;10.8108;17;5;10.8476;17;5;10.8476
12615005720;20;34;2513;85;21;4;9.7396;48;7;10.8518;43;7;11.01
20244021321;20;17;98618;15;16;6;10.7676;16;6;10.8626;16;6;10.8626
06031080220;20;37;8054;45;30;8;10.8961;30;8;10.9175;30;8;10.9175
06224093421;20;1;6031;5;5;1;10.9366;5;1;10.9898;1;1;11.2118
20244031520;20;13;20244;56;25;4;11.1067;25;4;11.2154;15;2;11.2221
20244021821;20;21;98618;11;28;11;11.1428;28;11;11.2324;21;8;11.2938
06224095220;20;6;26600;37;12;3;10.687;12;3;11.3062;12;3;11.3062
06224051419;20;8;26600;30;7;3;9.172;15;3;11.3404;11;3;11.5998
24321043819;20;36;26075;68;37;5;11.369;37;5;11.369;4;1;11.455
24321043319;20;29;26075;84;19;4;11.4066;19;4;11.4066;5;1;11.673
20244033721;20;4;26600;17;11;3;11.445;11;3;11.49;5;1;11.8652
12707049820;20;28;28389;32;4;2;9.4778;5;2;11.6138;5;2;11.6138
20244124020;20;13;20244;31;37;6;11.4786;54;9;11.642;42;9;11.8432
12615000220;20;41;12742;88;4;1;9.4297;17;5;11.7274;10;4;11.7768
06224190220;20;16;8296;44;6;2;11.9596;11;3;11.9968;4;1;12.1424
18978022120;40;79;18977;51;9;1;8.5568;61;10;8.5834;61;10;8.5834
18881004622;40;15;18969;1;1;1;8.699;1;1;8.699;1;1;8.699
18901034221;40;23;18901;5;8;5;9.2424;8;5;9.2424;8;5;9.2424
18954071421;40;35;18954;14;31;9;9.252;31;9;9.252;13;4;9.4276
18889034221;40;61;18965;24;13;8;9.3032;13;8;9.3468;13;8;9.3468
18881010221;40;26;18974;36;3;1;9.962;20;7;9.3486;3;1;10.3432
18951034720;40;56;18952;48;14;3;9.4402;26;5;9.4946;3;2;10.3574
18891008920;40;88;18891;78;8;4;9.9104;21;9;9.5408;9;4;10.3451
18889015520;40;37;18950;64;3;1;10.3177;26;8;9.6136;13;3;10.3663
18881031420;40;22;2518;42;44;7;9.8414;54;10;9.6404;35;5;9.8468
14339000319;40;69;8373;136;13;3;9.5522;85;9;9.6484;22;5;10.5122
18335017921;40;37;18973;15;9;6;9.6838;9;6;9.6838;9;6;9.6838
18479012917;40;131;2521;181;14;5;9.8301;27;7;9.722;9;3;10.2682
18978012621;40;39;18957;30;49;9;9.7476;49;9;9.7476;47;9;9.8006
18978020621;40;17;18978;22;22;4;9.7378;22;4;9.7736;13;3;9.8524
18951037018;40;77;18951;124;3;1;9.6428;27;7;9.7895;3;1;10.8886
18444019619;40;87;18932;95;11;2;9.9324;31;6;9.7924;30;6;10.1018
12746003819;40;75;2521;119;1;1;9.3202;21;7;9.8328;7;3;11.0122
18479000121;40;18;18982;24;17;7;9.8062;17;7;9.834;17;7;9.834
18973034720;40;35;18335;38;22;6;9.9579;26;7;9.8602;22;6;9.9701
18978020721;40;37;18847;35;72;10;9.8778;72;10;9.8908;48;8;10.019
18954031820;40;74;2518;71;99;14;9.66;127;28;9.9346;102;22;9.9732
18973006420;40;83;18955;73;6;2;9.9586;28;7;9.9458;13;6;10.3498
18850007021;40;17;18850;23;32;5;10.0356;32;5;10.0356;14;2;10.042
12746004719;40;33;12746;78;19;5;10.2236;31;6;10.037;19;5;10.2369
18881011021;40;61;18968;21;16;6;10.0478;16;6;10.052;16;6;10.052
18891015619;40;59;18958;115;2;1;9.6245;14;4;10.0553;13;6;10.9066
18479001520;40;51;18850;84;6;1;10.757;97;18;10.1156;33;5;11.1306
18889006420;40;25;18460;78;12;2;9.8726;30;5;10.1438;6;1;10.1826
18951016920;40;70;18901;71;7;4;10.2746;24;10;10.1458;7;4;10.2746
18953085720;40;37;18953;24;19;8;10.1978;19;8;10.1978;19;8;10.1978
18978014920;40;63;18969;76;39;14;10.1309;43;13;10.2064;34;13;10.2288
18954020519;40;59;18976;89;16;3;10.2593;22;6;10.2522;18;4;10.7422
18953084720;40;35;18953;24;19;9;9.7796;19;9;10.2776;5;3;10.3792
18978020521;40;7;18967;16;11;2;9.8594;11;2;10.2838;11;2;10.2838
18479016220;40;59;18889;43;9;4;10.3376;23;7;10.315;19;7;10.3612
18973022619;40;26;18479;89;2;1;10.7042;5;3;10.3294;2;1;10.7154
18951016620;40;75;18954;58;24;6;10.2734;29;8;10.3534;24;6;10.5266
18479012620;40;57;18968;41;28;6;10.3932;28;6;10.3932;10;2;10.8322
18479014520;40;64;18951;60;17;5;10.486;17;5;10.4978;17;5;10.4978
18479016520;40;41;18881;50;20;3;9.9664;55;11;10.5154;55;11;10.5154
18955012719;40;46;18971;110;2;1;10.3001;12;3;10.5482;12;3;10.5482
18889033221;40;28;18889;21;2;1;10.4288;2;1;10.701;2;1;10.701
18479000120;40;77;18954;80;5;2;10.9308;48;12;10.7316;5;2;10.9308
18444024421;40;14;18920;21;19;4;10.8688;19;4;10.9048;19;4;10.9048
18889020920;40;20;18889;17;1;1;10.92;1;1;10.9766;1;1;10.9766
16405005519;40;35;16406;81;12;3;11.129;22;5;11.0928;5;1;11.4688
06493039220;70;1;6500;1;7;1;9.4665;7;1;9.4665;7;1;9.4665
02497003721;70;3;22380;34;12;2;9.995;19;3;10.0068;13;2;10.0328
20308002920;70;1;26621;24;3;1;10.0196;3;1;10.0641;3;1;10.0641
06493026221;70;2;98320;9;12;2;10.184;12;2;10.1931;12;2;10.1931
06493119619;70;9;22756;30;64;5;10.2096;64;5;10.2096;55;4;10.4112
24288027820;80;19;24288;48;17;7;9.8894;27;9;9.6961;2;1;9.9735
24288005718;80;83;24288;174;3;1;9.5251;77;16;9.9888;5;1;10.3024
